precision,bytes,speedup_transformer_over_mamba,memory_reduction_percent
FP32,256,0.29056179729699577,2.7463067531935947
FP32,512,0.505971620371649,38.18716434348997
FP32,1024,0.9283944629226625,66.58171723854024
FP32,2048,2.1916386273786235,91.25541754947774
FP32,4096,3.9978257381582782,95.72117054723486
BF16,256,0.3665613568798164,9.511981709898675
BF16,512,0.4032122823143617,32.45471244455727
BF16,1024,0.8003240973304178,61.449851264392194
BF16,2048,1.8297381902465553,80.25437138288596
BF16,4096,2.994683864723213,90.21346158763598
